locus_radius:0.01,nuclear_radius:1.0,bound_zone_thickness:0.18350341907227397,bound_to_bound:0.7,unbound_to_bound:0.9,dt:0.5,
URA3_FLE_BINDING_COLLISIONrestep
X,Y,is_bound
-0.6379076138664198,-0.5620849093247434,1
-0.5926346628867413,-0.6177592534625276,1
-0.6154327624531511,-0.6203064322404237,1
-0.6072597621900148,-0.6122136448417531,1
-0.6096132493026555,-0.6285922719986926,1
-0.6299220611276457,-0.6153141255947835,1
-0.6131685011773108,-0.6303758696786208,1
-0.5946614734077902,-0.6505162737460507,1
-0.6172491033456448,-0.6726328302314639,1
-0.5803117271344473,-0.6768134661896332,0
-0.5114282441825936,-0.6823593136824717,1
-0.48108505545061214,-0.6554098758496364,1
-0.4852471579101921,-0.7040748855199735,1
-0.4970824759094319,-0.7293747226857249,1
-0.47784497988174146,-0.7732362489031737,1
-0.49422373060716496,-0.7711387700805744,1
-0.4680325637204762,-0.7540459435711039,1
-0.5053266119934039,-0.7455106531227162,1
-0.4733879393700036,-0.7569401137254905,1
-0.4640334325443894,-0.7524304557785044,0
-0.44740441347467486,-0.8548345490133679,1
-0.43291131719970555,-0.8315232148805966,1
-0.4101510740300858,-0.8265042096673586,0
-0.40184992732500924,-0.727080622679675,1
-0.42150715511523834,-0.7578088490012356,1
-0.4143418012750286,-0.7617938649915077,1
-0.396042128441309,-0.756628113864533,0
-0.4468843824916619,-0.7011930689302683,1
-0.4560799779869922,-0.729476077151974,0
-0.4079348749254652,-0.7927356496163982,1
-0.4080561839714498,-0.7639035208565277,1
-0.4204002582806145,-0.7850076967269676,0
-0.3953292078682725,-0.7068565578589897,1
-0.4480366780433487,-0.7220023260043695,0
-0.4227577132965991,-0.7087283359930557,1
-0.38883047160798295,-0.7218030751536988,1
-0.4475717094227024,-0.7369481154588384,1
-0.47649789223852945,-0.7360313216897703,1
-0.4948934050025991,-0.7255184480842262,1
-0.495774693265149,-0.7242317862601613,1
-0.47797674008483315,-0.7531122514707461,1
-0.4447282139341531,-0.794766812911292,1
-0.45428524621402666,-0.7665976983309454,1
-0.4588701342598021,-0.7327849078044062,1
-0.4751575916568901,-0.7752614765265259,1
-0.4767785880898519,-0.743364870498015,1
-0.45379432862143065,-0.6927400429850069,1
-0.4402216153749539,-0.6933717305961701,0
-0.5337333597245939,-0.6883941454029371,1
-0.541394309254722,-0.7143734599820609,1
-0.5391920696389144,-0.6991089874091875,1
-0.5589019749608566,-0.7383677488911518,1
-0.5676940623774608,-0.7722226679808267,1
-0.559183815598867,-0.7506462413547547,1
-0.5676687640841841,-0.7476489515783936,1
-0.5762107926012465,-0.7713773112105716,0
-0.5531271324764119,-0.6455635400317998,1
-0.5410456450170575,-0.6855190462820896,1
-0.5717413700177445,-0.6554300634887719,1
-0.5750702378946011,-0.7193312368076159,1
-0.5561386708307477,-0.6960079091034805,0
-0.6226311864132277,-0.712353328301375,1
-0.6428240291743601,-0.7209687749064988,1
-0.6538110074540111,-0.7002053328753473,0
-0.509183181860261,-0.6553820594706312,1
-0.5456647700302898,-0.7349486097809979,1
-0.5226974167500595,-0.7256375731079764,0
-0.5136212577406027,-0.7352592549728407,1
-0.5037672299016875,-0.7402104521802843,1
-0.515160972703851,-0.7061367345556602,1
-0.5058148079432305,-0.6906181961136476,0
-0.4510157839738355,-0.6349186081330591,0
-0.5293595421423103,-0.62292066443521,1
-0.5225340169940191,-0.6238860092439105,0
-0.5327044877567787,-0.6398586438611478,1
-0.5476630577170088,-0.6330770014025313,1
-0.5685890002718116,-0.628330870899235,1
-0.5364980295268001,-0.6108809283304127,1
-0.5697087367260752,-0.6563976415248572,1
-0.5693884427059921,-0.6588796811837083,1
-0.5269725049134657,-0.6786560153143103,0
-0.552909699528595,-0.6624606629583597,1
-0.540628422871322,-0.6829211823618795,1
-0.5166125955178164,-0.6487990894213408,0
-0.5875136454362818,-0.7362453777609225,1
-0.5937094399155844,-0.7481147174971475,1
